Code INSEE;Commune;Age;Moins de 2 années;De 2 à 4 années;De 5 à 9 années;De 10 à 19 années;De 20 à 29 années;De 30 à 39 années;De 40 à 49 années;De 50 à 59 années;De 60 à 69 années;70 années ou plus;geolocalisation
35079;Chevaigné;20 à 24 ans;6;4;1;0;1;0;0;0;0;0;48.2251828699, -1.63670416498
35080;Cintré;80 ans ou plus;1;1;1;3;6;2;14;3;3;4;48.108708615, -1.88667263001
35081;Clayes;55 à 64 ans;1;2;2;6;13;18;2;0;0;0;48.1786926288, -1.8539725616
35081;Clayes;80 ans ou plus;0;0;0;1;3;2;4;3;1;1;48.1786926288, -1.8539725616
35088;Corps-Nuds;15 à 19 ans;3;1;0;1;0;0;0;0;0;0;47.9823871404, -1.57026704551
35088;Corps-Nuds;25 à 39 ans;112;106;68;25;1;2;0;0;0;0;47.9823871404, -1.57026704551
35120;Gévezé;Moins de 15 ans;0;0;0;0;0;0;0;0;0;0;48.2133254705, -1.79930703575
35120;Gévezé;40 à 54 ans;58;160;126;172;62;5;5;2;1;0;48.2133254705, -1.79930703575
35131;L'Hermitage;65 à 79 ans;9;8;15;43;39;93;107;8;0;1;48.1221023417, -1.8166504183
35139;Laillé;65 à 79 ans;13;18;20;43;27;89;36;3;1;2;47.9672360017, -1.71452676529
35144;Langan;55 à 64 ans;2;2;7;8;10;44;4;2;1;0;48.2363756072, -1.84565830249
35144;Langan;80 ans ou plus;0;0;0;1;6;4;4;5;1;4;48.2363756072, -1.84565830249
35180;Miniac-sous-Bécherel;65 à 79 ans;0;0;4;6;6;8;9;3;0;2;48.2810885875, -1.92727123797
35189;Montgermont;55 à 64 ans;7;22;39;57;79;68;2;0;0;0;48.1538376773, -1.71729477816
35189;Montgermont;80 ans ou plus;2;6;3;9;13;18;21;5;0;1;48.1538376773, -1.71729477816
35196;Mordelles;25 à 39 ans;211;369;174;24;7;2;0;0;0;0;48.0857602983, -1.84210731238
35196;Mordelles;80 ans ou plus;11;17;25;19;32;33;46;17;2;3;48.0857602983, -1.84210731238
35204;Nouvoitou;55 à 64 ans;9;10;24;35;89;79;1;1;2;0;48.0299058856, -1.55180159639
35206;Noyal-Châtillon-sur-Seiche;20 à 24 ans;75;42;1;1;2;0;0;0;0;0;48.0524815273, -1.6633106381
35206;Noyal-Châtillon-sur-Seiche;25 à 39 ans;195;371;98;27;2;2;0;0;0;0;48.0524815273, -1.6633106381
35206;Noyal-Châtillon-sur-Seiche;65 à 79 ans;14;23;29;91;87;133;70;14;1;7;48.0524815273, -1.6633106381
35208;Orgères;Moins de 15 ans;0;0;0;0;0;0;0;0;0;0;47.9853322097, -1.66640026267
35210;Pacé;15 à 19 ans;26;6;5;3;0;0;0;0;0;0;48.152548244, -1.77716643787
35210;Pacé;20 à 24 ans;154;115;15;6;2;0;1;0;0;0;48.152548244, -1.77716643787
35210;Pacé;25 à 39 ans;307;532;269;30;2;6;0;0;0;0;48.152548244, -1.77716643787
35210;Pacé;80 ans ou plus;7;17;23;38;32;30;74;13;10;5;48.152548244, -1.77716643787
35216;Parthenay-de-Bretagne;20 à 24 ans;11;5;0;0;0;0;0;0;0;0;48.1884515911, -1.829797127
35216;Parthenay-de-Bretagne;25 à 39 ans;48;79;37;15;1;0;1;0;0;0;48.1884515911, -1.829797127
35216;Parthenay-de-Bretagne;65 à 79 ans;1;1;7;11;5;15;9;2;0;1;48.1884515911, -1.829797127
35238;Rennes;15 à 19 ans;4466;1290;97;66;19;0;7;0;0;0;48.1119791219, -1.68186449144
35238;Rennes;55 à 64 ans;872;1742;2006;3881;3151;1726;172;42;22;4;48.1119791219, -1.68186449144
35240;Le Rheu;65 à 79 ans;14;28;36;93;63;130;70;12;4;3;48.097397419, -1.78149989185
35245;Romillé;Moins de 15 ans;0;0;0;0;0;0;0;0;0;0;48.2223488257, -1.87904298142
35245;Romillé;15 à 19 ans;7;2;0;0;0;0;0;0;0;0;48.2223488257, -1.87904298142
35245;Romillé;20 à 24 ans;31;9;1;0;2;0;0;1;0;0;48.2223488257, -1.87904298142
35245;Romillé;40 à 54 ans;24;79;107;150;62;11;4;3;0;0;48.2223488257, -1.87904298142
35250;Saint-Armel;20 à 24 ans;22;15;1;0;0;0;0;0;0;0;48.0133072658, -1.58086136058
35266;Saint-Erblon;20 à 24 ans;15;24;1;0;1;0;1;0;0;0;48.019118287, -1.64173794803
35266;Saint-Erblon;80 ans ou plus;0;3;5;10;9;7;12;0;0;3;48.019118287, -1.64173794803
35278;Saint-Grégoire;25 à 39 ans;212;385;167;15;3;2;0;0;0;0;48.1588840471, -1.68571943452
35278;Saint-Grégoire;55 à 64 ans;30;67;114;197;216;118;6;0;0;0;48.1588840471, -1.68571943452
35281;Saint-Jacques-de-la-Lande;25 à 39 ans;556;966;410;77;4;2;4;0;0;0;48.0755625884, -1.72405381322
35315;Saint-Sulpice-la-Forêt;25 à 39 ans;29;29;31;8;1;0;0;0;0;0;48.21225732, -1.57663512362
35315;Saint-Sulpice-la-Forêt;55 à 64 ans;2;2;12;24;25;36;2;0;1;0;48.21225732, -1.57663512362
35334;Thorigné-Fouillard;Moins de 15 ans;0;1;0;0;0;0;0;0;0;0;48.1566082899, -1.58409867633
