Geo Point;Geo Shape;gml_id;objectid;circ_apaisee;type_agt_velo;sens;jalonnement;c_insee;annee_mes;etat
48.1371487719, -1.65528906912;"{""type"": ""MultiLineString"", ""coordinates"": [[[-1.655635108430776, 48.137179963101424], [-1.654943029801481, 48.13711758065437]]]}";circ_apais_amgt_velo.798;798;zone 30;;;;35238;;
48.1136347209, -1.6945959043;"{""type"": ""MultiLineString"", ""coordinates"": [[[-1.694983527639716, 48.11307862464007], [-1.694208280952912, 48.11419081713466]]]}";circ_apais_amgt_velo.803;803;zone 30;;;;35238;;
48.1348211632, -1.66033098227;"{""type"": ""MultiLineString"", ""coordinates"": [[[-1.657565082032251, 48.141665559988674], [-1.657592876758992, 48.14156695150159], [-1.657636895988375, 48.14134402184921], [-1.657681874194295, 48.14103411957778], [-1.657704159660113, 48.14080180129315], [-1.657748832075457, 48.140482343002354], [-1.657776675684099, 48.14035084392424], [-1.657811027882151, 48.140227563855355], [-1.657860595596676, 48.140083226413395], [-1.657929293393005, 48.13993064106411], [-1.658233290346369, 48.13932296130116], [-1.658351602515766, 48.139082026635585], [-1.658503617760759, 48.13875356631265], [-1.658591626119265, 48.13853983039408], [-1.658655079416512, 48.138207633038654], [-1.658676592270618, 48.13798181146121], [-1.658681628944595, 48.13785446399674], [-1.658688337543175, 48.13752785686929], [-1.65869629922698, 48.13737818260887], [-1.658719385499303, 48.1372671026095], [-1.658773708040142, 48.13709137193962], [-1.658822517382053, 48.13696478463887], [-1.659037168047652, 48.136509265892215], [-1.659619649851349, 48.13512510329335], [-1.659829536736208, 48.13459602640886], [-1.660000349557142, 48.134216559347735], [-1.660130722406843, 48.13397971237919], [-1.660321346555041, 48.13379455261934], [-1.660410695194721, 48.13370372392098], [-1.660673813706206, 48.133460383459045], [-1.660964097057125, 48.13317081838956], [-1.661113775708744, 48.13303319531251], [-1.661261917259842, 48.13287536767644], [-1.661391620324199, 48.13274039447192], [-1.661481759206683, 48.13261577457397], [-1.661844627086913, 48.132015076990015], [-1.662106978859792, 48.131634735878706], [-1.662448070960539, 48.13112368890106], [-1.662522034131521, 48.13100749703085], [-1.662545802064895, 48.130944224410406], [-1.662827604057658, 48.13047711985797], [-1.663083528631751, 48.13006773293723], [-1.663211594794785, 48.12981745436883], [-1.663404432650732, 48.129523607164835], [-1.663695198176061, 48.12916902125588], [-1.664182269427489, 48.12850555486095], [-1.664207336095604, 48.12847592066855]]]}";circ_apais_amgt_velo.805;805;;bande cyclable;double-sens;non;35238;1998;
48.1315657948, -1.65759049676;"{""type"": ""MultiLineString"", ""coordinates"": [[[-1.657303135761299, 48.132029277663335], [-1.657284425607979, 48.131501453114055], [-1.657984355793549, 48.131476175679445], [-1.658082612685813, 48.13133613721598], [-1.658161038784655, 48.131283493281614]]]}";circ_apais_amgt_velo.806;806;zone de rencontre;;;;35238;;
48.1031883743, -1.65329748239;"{""type"": ""MultiLineString"", ""coordinates"": [[[-1.65323448434801, 48.10300503493311], [-1.65325669094771, 48.10307304728175], [-1.653361758105316, 48.10337128002233]]]}";circ_apais_amgt_velo.807;807;zone 30;;;;35238;;
48.0998901108, -1.68228155069;"{""type"": ""MultiLineString"", ""coordinates"": [[[-1.682269670931498, 48.09995781524838], [-1.682293430438874, 48.09982240637125]]]}";circ_apais_amgt_velo.810;810;zone 30;;;;35238;;
48.1041091031, -1.68275215979;"{""type"": ""MultiLineString"", ""coordinates"": [[[-1.682756072145393, 48.10416984212005], [-1.682728646973321, 48.10415392068584], [-1.682727657017133, 48.104131163698426], [-1.682734597850236, 48.104102406875306], [-1.682761154231886, 48.10407780700851], [-1.682794038438686, 48.10406511396074], [-1.682808942213909, 48.10406648025814]]]}";circ_apais_amgt_velo.818;818;zone 30;;;;35238;;
48.1291407098, -1.70130206328;"{""type"": ""MultiLineString"", ""coordinates"": [[[-1.701292946658927, 48.12911057792561], [-1.701311179910176, 48.1291708417266]]]}";circ_apais_amgt_velo.724;724;zone 30;;;;35238;;
48.1348128752, -1.65321005931;"{""type"": ""MultiLineString"", ""coordinates"": [[[-1.653178960058332, 48.13501447332035], [-1.653221479527905, 48.134984460362695], [-1.653203801120525, 48.13464250510771], [-1.653201652351876, 48.13459186275607]]]}";circ_apais_amgt_velo.727;727;zone de rencontre;;;;35238;;
48.1277043401, -1.66944254715;"{""type"": ""MultiLineString"", ""coordinates"": [[[-1.669668789860606, 48.127549723344245], [-1.669216304440811, 48.12785895692149]]]}";circ_apais_amgt_velo.732;732;zone 30;;;;35238;;
48.1129942615, -1.67802327428;"{""type"": ""MultiLineString"", ""coordinates"": [[[-1.6782904787942, 48.11241401208341], [-1.678302953313908, 48.11248180600537], [-1.678300739989659, 48.11312481284544], [-1.678259180957484, 48.113162096153076], [-1.677330276509299, 48.113153930606146]]]}";circ_apais_amgt_velo.734;734;zone 30;;;;35238;;
48.087001807, -1.66143534525;"{""type"": ""MultiLineString"", ""coordinates"": [[[-1.661708829588507, 48.087005131156516], [-1.661161860906661, 48.08699848275555]]]}";circ_apais_amgt_velo.746;746;zone de rencontre;;;;35238;;
48.1143787124, -1.68105655259;"{""type"": ""MultiLineString"", ""coordinates"": [[[-1.680830592395602, 48.1143325186478], [-1.681282512776928, 48.11442490606392]]]}";circ_apais_amgt_velo.748;748;aire piétonne;;;;35238;;
48.1189577125, -1.71488055084;"{""type"": ""MultiLineString"", ""coordinates"": [[[-1.71509256755415, 48.11908092840936], [-1.715096048882484, 48.11895859654306], [-1.715069893503647, 48.1189301128932], [-1.715038567127855, 48.11892454897072], [-1.714735613980859, 48.1189198492396], [-1.714690059713078, 48.11892793449419], [-1.714666520652167, 48.11894719187795], [-1.714663136844172, 48.11907501639819]]]}";circ_apais_amgt_velo.752;752;zone 30;;;;35238;;
