Geo Point;Geo Shape;ID;Zone tarifaire;Tarif 15';Tarif 30';Tarif 1h;Tarif 1h30;Tarif 2h;Tarif 3h;Tarif 4h
48.1078783752, -1.68956479766;"{""type"": ""LineString"", ""coordinates"": [[-1.689589530847541, 48.10781213688801], [-1.68954006446725, 48.10794461342558]]}";4883;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.1048926458, -1.69161924435;"{""type"": ""LineString"", ""coordinates"": [[-1.691608264355273, 48.10496513611002], [-1.691630224337683, 48.10482015545895]]}";4920;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.106261663, -1.68940977451;"{""type"": ""LineString"", ""coordinates"": [[-1.689491591538179, 48.10626975575263], [-1.689425630556233, 48.10626132954439], [-1.689327681589237, 48.10625673465478]]}";4888;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.106158739, -1.6916076905;"{""type"": ""LineString"", ""coordinates"": [[-1.692001523789977, 48.10617928275939], [-1.691213857207642, 48.10613819517848]]}";4904;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.1098628313, -1.69413694407;"{""type"": ""LineString"", ""coordinates"": [[-1.693566583671422, 48.10891244064406], [-1.693852003484693, 48.10951187493631], [-1.693896148791369, 48.1095137545603], [-1.693980360824006, 48.10965388489014], [-1.693926932713505, 48.10967079075568], [-1.693935747059476, 48.10970724389349], [-1.694546359100961, 48.11013510653372], [-1.694458792866897, 48.110863887144525]]}";1627;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.1090898725, -1.69529821005;"{""type"": ""LineString"", ""coordinates"": [[-1.69460383468212, 48.109211107418005], [-1.695102096455773, 48.10942230869291], [-1.69590158507301, 48.10854995174885]]}";1631;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.1088028141, -1.69090313772;"{""type"": ""LineString"", ""coordinates"": [[-1.690961608357068, 48.10891899146426], [-1.690844667082031, 48.1086866368183]]}";1639;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.109215481, -1.69497496253;"{""type"": ""LineString"", ""coordinates"": [[-1.695130691146927, 48.10927886473503], [-1.694819233903714, 48.1091520973213]]}";1632;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.1104268608, -1.67125599915;"{""type"": ""LineString"", ""coordinates"": [[-1.671255073229605, 48.110325148723504], [-1.671256925073639, 48.110528572970075]]}";661;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.108438742, -1.69073256236;"{""type"": ""LineString"", ""coordinates"": [[-1.690775800969067, 48.108524853489435], [-1.690689323757926, 48.10835263049904]]}";1640;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.109227923, -1.67623492827;"{""type"": ""LineString"", ""coordinates"": [[-1.676233726538239, 48.109142202692595], [-1.676236130000381, 48.10931364327853]]}";194;rouge;0.50;1.00;2.00;4.00;10.00;22.00;34.00
48.1097523848, -1.6916937508;"{""type"": ""LineString"", ""coordinates"": [[-1.691745384291309, 48.10928782795906], [-1.691686575059017, 48.10984977616369], [-1.691672540854451, 48.10999759779195], [-1.69162069939818, 48.11021322518315]]}";1626;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.1103476904, -1.69220460129;"{""type"": ""LineString"", ""coordinates"": [[-1.692600772718743, 48.110412510176474], [-1.691808429855021, 48.110282870664]]}";1624;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
