ap_timeo;ap_datemaj;equip_mobilier;equip_banc;equip_eclairage;equip_poubelle;access_pmr;access_li_ok;access_li_nok;Commune (nom);Coordonnées;Commune (code INSEE);Identifiant
3853;2011-08-25Z;Abri simple;OUI;OUI;OUI;OUI;155 55 76;;Mordelles;48.073718, -1.846282;35196;3853
3855;2011-08-25Z;Abri double;OUI;OUI;OUI;OUI;55 155 76;;Mordelles;48.077668, -1.837422;35196;3855
3861;2011-08-25Z;Poteau;NON;NON;NON;NON;;55;Mordelles;48.081392, -1.827027;35196;3861
3864;2011-08-25Z;Abri simple;OUI;OUI;OUI;OUI;55 155 76;;Mordelles;48.073558, -1.846884;35196;3864
3904;2014-08-12Z;Poteau;NON;NON;NON;OUI;172 79 72;;Pont-Péan;48.012935, -1.702976;35363;3904
3906;2014-08-12Z;Abri double;OUI;OUI;OUI;OUI;72 172 79;;Pont-Péan;48.013631, -1.707588;35363;3906
3909;2014-08-12Z;Poteau;NON;NON;NON;OUI;172 72;;Pont-Péan;48.01986, -1.707123;35363;3909
3911;2014-08-12Z;Poteau;NON;NON;NON;OUI;72 79 172;;Pont-Péan;48.01369, -1.707704;35363;3911
3914;2014-08-12Z;Poteau;NON;NON;NON;OUI;72 79;;Pont-Péan;48.010354, -1.701141;35363;3914
3915;2015-02-10Z;Poteau;NON;NON;NON;OUI;72;;Pont-Péan;48.006145, -1.698543;35363;3915
3955;2011-12-15Z;Abri simple;OUI;OUI;OUI;OUI;94 70;;Saint-Sulpice-la-Forêt;48.211688, -1.590809;35315;3955
4002;2011-08-25Z;Abri simple;OUI;NON;OUI;OUI;164 64;;Acigné;48.136905, -1.533137;35001;4002
4012;2012-03-20Z;Poteau;NON;NON;NON;OUI;164 64;;Acigné;48.134151, -1.534705;35001;4012
4054;2011-08-25Z;Abri double;OUI;NON;OUI;OUI;52;;La Chapelle-des-Fougeretz;48.177108, -1.732207;35059;4054
4060;2015-04-15Z;Poteau;NON;NON;NON;OUI;52;;La Chapelle-des-Fougeretz;48.179271, -1.729299;35059;4060
4104;2011-08-25Z;Abri simple;OUI;NON;OUI;OUI;73 173;;Corps-Nuds;47.979393, -1.587834;35088;4104
4110;2014-08-12Z;Poteau;NON;NON;NON;OUI;73 173;;Corps-Nuds;47.977719, -1.585507;35088;4110
4151;2012-03-20Z;Abri bâti;NON;OUI;OUI;OUI;67 167;;Brécé;48.109864, -1.481103;35039;4151
4154;2012-03-20Z;Abri simple;OUI;OUI;OUI;OUI;167 67;;Brécé;48.107516, -1.482935;35039;4154
4158;2012-03-20Z;Poteau;NON;NON;NON;OUI;67 167;;Brécé;48.107535, -1.486118;35039;4158
4159;2012-03-20Z;Poteau;NON;NON;NON;NON;;167 67;Brécé;48.107463, -1.482571;35039;4159
4203;2014-08-12Z;Poteau;NON;NON;NON;OUI;56 156;;Chavagne;48.05512, -1.790086;35076;4203
4207;2014-08-12Z;Poteau;NON;NON;NON;NON;;56;Chavagne;48.063429, -1.772449;35076;4207
4257;2012-03-20Z;Poteau;NON;NON;NON;OUI;53 153;;La Chapelle-Thouarault;48.123122, -1.860835;35065;4257
4270;2014-08-25Z;Poteau;NON;NON;NON;;;;La Chapelle-Thouarault;48.122657, -1.868554;35065;4270
4306;2012-03-20Z;Abri simple;OUI;OUI;OUI;OUI;53 153;;L'Hermitage;48.123163, -1.806172;35131;4306
4307;2013-08-05Z;Poteau;NON;NON;NON;OUI;53 153;;L'Hermitage;48.123516, -1.807448;35131;4307
4310;2012-03-20Z;Poteau;NON;NON;NON;OUI;53 153;;L'Hermitage;48.12375, -1.817992;35131;4310
4351;2011-08-25Z;Abri simple;OUI;OUI;OUI;OUI;61;;Saint-Erblon;48.01727, -1.660332;35266;4351
4352;2015-05-13Z;Abri simple;OUI;OUI;OUI;OUI;61;;Saint-Erblon;48.01881, -1.657566;35266;4352
4361;2015-05-12Z;Poteau;NON;NON;NON;OUI;61 161;;Saint-Erblon;48.017691, -1.649474;35266;4361
4402;2011-08-25Z;Abri simple;OUI;NON;OUI;OUI;55;;Le Verger;48.070241, -1.928997;35351;4402
4502;2011-08-25Z;Abri double;OUI;OUI;OUI;OUI;68 168;;Gévezé;48.220986, -1.788723;35120;4502
4503;2012-03-27Z;Poteau;NON;NON;NON;OUI;168 68;;Gévezé;48.218704, -1.784055;35120;4503
4505;2012-03-27Z;Poteau;NON;NON;NON;OUI;68 168;;Gévezé;48.221027, -1.7882;35120;4505
4509;2011-08-25Z;Poteau;NON;NON;NON;OUI;168 68;;Gévezé;48.224645, -1.800449;35120;4509
4511;2011-08-25Z;Poteau;NON;NON;NON;OUI;68 168;;Gévezé;48.223978, -1.793771;35120;4511
4608;2011-12-15Z;Poteau;NON;NON;NON;OUI;94 71;;Chevaigné;48.207963, -1.630549;35079;4608
4609;2011-12-15Z;Poteau;NON;NON;NON;NON;;71 94;Chevaigné;48.199145, -1.627451;35079;4609
4610;2011-12-15Z;Poteau;NON;NON;NON;NON;;71 94;Chevaigné;48.199223, -1.627788;35079;4610
4705;2012-03-08Z;Abri simple;OUI;OUI;OUI;OUI;72 79;;Laillé;47.977983, -1.719683;35139;4705
4709;2012-03-08Z;Abri simple;NON;NON;NON;;;;Laillé;47.979926, -1.693073;35139;4709
4721;2017-03-03Z;Abri simple;NON;NON;NON;;;;Laillé;47.974425, -1.697982;35139;4721
4722;2017-05-12Z;Poteau;NON;NON;NON;;;;Laillé;47.974626, -1.698507;35139;4722
4800;2013-10-23Z;Abri simple;OUI;OUI;OUI;OUI;82;;Bécherel;48.296245, -1.945373;35022;4800
4801;2013-10-23Z;Poteau;NON;NON;NON;OUI;82;;Bécherel;48.296897, -1.943729;35022;4801
5005;2010-10-10Z;Station métro;NON;NON;NON;NON;;a;;;;
5012;2010-10-10Z;Station métro;NON;NON;NON;NON;;a;;;;
5013;2010-10-10Z;Station métro;NON;NON;NON;NON;;a;;;;
5017;2010-10-10Z;Station métro;NON;NON;NON;NON;;a;;;;
5019;2010-10-10Z;Station métro;NON;NON;NON;NON;;a;;;;
5021;2010-10-10Z;Station métro;NON;NON;NON;NON;;a;;;;
5030;2010-10-10Z;Station métro;NON;NON;NON;NON;;a;;;;
5038;2015-02-25Z;Poteau;NON;NON;NON;;;;Rennes;48.121434, -1.702953;35238;5038
2831;2012-03-09Z;Abri simple;OUI;OUI;OUI;OUI;78;;Saint-Grégoire;48.153536, -1.678717;35278;2831
2847;2013-07-25Z;Abri simple;OUI;NON;OUI;OUI;78 36;;Saint-Grégoire;48.151815, -1.684518;35278;2847
2852;2014-09-01Z;Abri simple;OUI;OUI;OUI;OUI;78;;Saint-Grégoire;48.147918, -1.696926;35278;2852
