Geo Point;Geo Shape;objectid;id_voie;nom_voie;code_insee;nom_commune;nombre_support;code_modele;libelle_modele;date_creation;gestionnaire;commentaire
48.1822690184, -1.64071228785;"{""type"": ""Point"", ""coordinates"": [-1.640712287847186, 48.18226901836145]}";796;5997;Place Charles de Gaulle;35024;Betton;4;;SV 14;2007-12-31T23:00:00Z;Rennes Métropole;devant la poste
48.1001782893, -1.69877348578;"{""type"": ""Point"", ""coordinates"": [-1.69877348577878, 48.10017828932438]}";1735;10057;Rue Roger-Henri Guerrand;35238;Rennes;4;;autre;2017-12-31T23:00:00Z;Rennes Métropole;n°18
48.0993447838, -1.67720755634;"{""type"": ""Point"", ""coordinates"": [-1.67720755634222, 48.09934478382483]}";1738;9661;Rue Ginguené;35238;Rennes;2;;S 23-1;;Rennes Métropole;
48.0468397899, -1.74289172948;"{""type"": ""Point"", ""coordinates"": [-1.742891729479109, 48.04683978991496]}";1696;1546;Contour Antoine de Saint-Exupéry;35047;Bruz;8;;SV 14;2007-12-31T23:00:00Z;Rennes Métropole;devant restaurant universitaire
48.0220530011, -1.74317885259;"{""type"": ""Point"", ""coordinates"": [-1.743178852586531, 48.02205300105364]}";2142;1362;Place de Bretagne;35047;Bruz;4;;SV 19;;Rennes Métropole;face Pharmacie
48.0736738827, -1.84672919887;"{""type"": ""Point"", ""coordinates"": [-1.846729198870863, 48.07367388267941]}";3370;380;les Mares  (voie sans tronçon);35088;Corps-Nuds;5;;;2013-12-31T23:00:00Z;Rennes Métropole;face n°31
48.154566195, -1.8293399701;"{""type"": ""Point"", ""coordinates"": [-1.829339970101926, 48.15456619496598]}";3376;5297;Rue du Centre;35275;Saint-Gilles;6;;;2015-12-31T23:00:00Z;Rennes Métropole;n°4
48.1093089745, -1.67888058852;"{""type"": ""Point"", ""coordinates"": [-1.678880588518373, 48.109308974494844]}";3778;9066;Rue du Pré Botté;35238;Rennes;6;;S 23-1;2018-07-03T22:00:00Z;Rennes Métropole;n°12
48.1212283967, -1.68145711462;"{""type"": ""Point"", ""coordinates"": [-1.681457114617632, 48.12122839670147]}";3780;8994;Canal Saint-Martin;35238;Rennes;2;;S 23-1;2018-10-07T22:00:00Z;Rennes Métropole;Auberge de Jeunesse - face n°10
48.2728658926, -1.85376994005;"{""type"": ""Point"", ""coordinates"": [-1.853769940045222, 48.272865892555316]}";3781;19051;Rue du Lavoir;35058;la Chapelle-Chaussée;4;;SV 26;2015-12-31T23:00:00Z;Rennes Métropole;parking face n°14
48.2937504213, -1.94722608212;"{""type"": ""Point"", ""coordinates"": [-1.947226082116922, 48.29375042133873]}";3787;19308;Route de Montfort;35022;Bécherel;2;;SV 29;2013-12-31T23:00:00Z;Rennes Métropole;face n°2
48.1224681833, -1.59921411107;"{""type"": ""Point"", ""coordinates"": [-1.599214111072117, 48.12246818334455]}";3791;7170;Rue de Belle Epine;35051;Cesson-Sévigné;3;;SV 14;2014-12-31T23:00:00Z;Rennes Métropole;entrée Est du C.C.Bourgchevreuil
48.1223543474, -1.59994257627;"{""type"": ""Point"", ""coordinates"": [-1.599942576269134, 48.12235434741742]}";1635;7271;Boulevard des Métairies;35051;Cesson-Sévigné;3;;SV 14;2014-12-31T23:00:00Z;Rennes Métropole;n°8 entrée Ouest du C.C.Bourgchevreuil
